0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	
2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	
3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	
4	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	6	
5	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	6	6	6	6	6	
6	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	7	7	
7	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	8	
8	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	6	7	7	7	7	7	7	7	8	8	8	8	8	8	9	
9	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	7	7	7	7	7	7	7	7	8	8	8	8	8	9	9	9	9	
10	1	1	1	2	2	2	2	2	2	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	6	6	6	6	6	7	7	7	7	7	7	7	7	8	8	8	8	9	9	9	9	9	10	10	10	10	
11	1	1	1	2	2	2	2	2	3	3	3	4	4	4	4	4	4	4	4	5	5	5	6	6	6	6	6	7	7	7	7	7	7	7	7	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	
12	1	2	2	2	2	2	2	3	3	3	4	4	4	4	4	4	5	5	5	5	6	6	6	6	6	7	7	7	7	7	7	8	8	8	9	9	9	9	9	10	10	10	10	10	10	10	11	11	11	12	
13	1	2	2	2	2	2	2	3	3	4	4	4	4	4	4	5	5	5	6	6	6	6	6	7	7	7	7	7	7	8	8	8	9	9	9	9	10	10	10	10	10	10	10	11	11	12	12	12	12	12	
14	2	2	2	2	2	2	2	3	3	4	4	4	4	4	5	5	5	6	6	6	6	7	7	7	7	7	7	8	8	8	9	9	9	9	10	10	10	10	10	10	11	11	12	12	12	12	12	13	13	13	
15	2	2	2	2	2	2	3	3	3	4	4	4	4	5	5	5	6	6	6	6	7	7	7	7	7	8	8	8	9	9	9	10	10	10	10	10	10	11	11	11	12	12	12	12	12	13	13	13	13	14	
16	2	2	2	2	2	3	3	3	4	4	4	4	5	5	5	6	6	6	6	7	7	7	7	8	8	8	8	9	9	9	10	10	10	10	10	11	11	12	12	12	12	12	12	13	13	13	13	14	14	14	
17	2	2	2	2	2	3	3	3	4	4	4	5	5	5	6	6	6	7	7	7	7	7	7	8	8	9	9	9	10	10	10	10	10	10	11	12	12	12	12	12	12	13	13	13	13	14	14	14	15	15	
